season_year,matchup_period,start_date,end_date,is_abnormal,abnormal_reason,is_playoff,playoff_round
2025,1,2025-03-18,2025-03-30,true,Extended opening week (13 days),false,
2025,2,2025-03-31,2025-04-06,false,,false,
2025,3,2025-04-07,2025-04-13,false,,false,
2025,4,2025-04-14,2025-04-20,false,,false,
2025,5,2025-04-21,2025-04-27,false,,false,
2025,6,2025-04-28,2025-05-04,false,,false,
2025,7,2025-05-05,2025-05-11,false,,false,
2025,8,2025-05-12,2025-05-18,false,,false,
2025,9,2025-05-19,2025-05-25,false,,false,
2025,10,2025-05-26,2025-06-01,false,,false,
2025,11,2025-06-02,2025-06-08,false,,false,
2025,12,2025-06-09,2025-06-15,false,,false,
2025,13,2025-06-16,2025-06-22,false,,false,
2025,14,2025-06-23,2025-06-29,false,,false,
2025,15,2025-06-30,2025-07-06,false,,false,
2025,16,2025-07-07,2025-07-20,true,All-Star break (14 days),false,
2025,17,2025-07-21,2025-07-27,false,,false,
2025,18,2025-07-28,2025-08-03,false,,false,
2025,19,2025-08-04,2025-08-10,false,,false,
2025,20,2025-08-11,2025-08-17,false,,false,
2025,21,2025-08-18,2025-08-24,false,,false,
2025,22,2025-08-25,2025-08-31,false,,false,
2025,23,2025-09-01,2025-09-07,false,,false,
2025,24,2025-09-08,2025-09-14,false,,true,Round 1
2025,25,2025-09-15,2025-09-21,false,,true,Semi-Finals
2025,26,2025-09-22,2025-09-28,false,,true,Finals
2026,1,2026-03-25,2026-04-05,true,Extended opening week (12 days),false,
2026,2,2026-04-06,2026-04-12,false,,false,
2026,3,2026-04-13,2026-04-19,false,,false,
2026,4,2026-04-20,2026-04-26,false,,false,
2026,5,2026-04-27,2026-05-03,false,,false,
2026,6,2026-05-04,2026-05-10,false,,false,
2026,7,2026-05-11,2026-05-17,false,,false,
2026,8,2026-05-18,2026-05-24,false,,false,
2026,9,2026-05-25,2026-05-31,false,,false,
2026,10,2026-06-01,2026-06-07,false,,false,
2026,11,2026-06-08,2026-06-14,false,,false,
2026,12,2026-06-15,2026-06-21,false,,false,
2026,13,2026-06-22,2026-06-28,false,,false,
2026,14,2026-06-29,2026-07-05,false,,false,
2026,15,2026-07-06,2026-07-19,true,All-Star break (14 days),false,
2026,16,2026-07-20,2026-07-26,false,,false,
2026,17,2026-07-27,2026-08-02,false,,false,
2026,18,2026-08-03,2026-08-09,false,,false,
2026,19,2026-08-10,2026-08-16,false,,false,
2026,20,2026-08-17,2026-08-23,false,,false,
2026,21,2026-08-24,2026-08-30,false,,false,
2026,22,2026-08-31,2026-09-06,false,,false,
